instances,classes,test_distribution,retraining_time,adjustment_time,opt_time
1000,2,[0.75640374 0.24359626],0.01650547981262207,0.002010822296142578,0.03000044822692871
1000,2,[0.11379106 0.88620894],0.021001338958740234,0.0020067691802978516,0.02755880355834961
1000,2,[0.78307778 0.21692222],0.02200031280517578,0.002007722854614258,0.02901482582092285
1000,2,[0.55764072 0.44235928],0.025000333786010742,0.001999378204345703,0.037004709243774414
1000,2,[0.30903369 0.69096631],0.024000883102416992,0.002999544143676758,0.028998851776123047
1000,2,[0.61313193 0.38686807],0.021999597549438477,0.002000093460083008,0.03400087356567383
1000,2,[0.64997291 0.35002709],0.021000146865844727,0.0029985904693603516,0.03000020980834961
1000,2,[0.66475545 0.33524455],0.019507408142089844,0.0030126571655273438,0.028986454010009766
1000,2,[0.72970365 0.27029635],0.021004676818847656,0.002527475357055664,0.030009031295776367
1000,2,[0.74975917 0.25024083],0.023003578186035156,0.002007722854614258,0.029499292373657227
1000,2,[0.57354823 0.42645177],0.021999835968017578,0.0019996166229248047,0.03360939025878906
1000,2,[0.60805212 0.39194788],0.019998788833618164,0.0029997825622558594,0.030003786087036133
1000,2,[0.02595122 0.97404878],0.018999576568603516,0.0020020008087158203,0.028009414672851562
1000,2,[0.4363249 0.5636751],0.02200150489807129,0.003000020980834961,0.031000852584838867
1000,2,[0.17978122 0.82021878],0.022066593170166016,0.002997159957885742,0.028002023696899414
1000,2,[0.60999514 0.39000486],0.020053625106811523,0.0019981861114501953,0.03000164031982422
1000,2,[0.71897107 0.28102893],0.021004676818847656,0.0019986629486083984,0.02951836585998535
1000,2,[0.60683572 0.39316428],0.022001981735229492,0.0019996166229248047,0.0385134220123291
1000,2,[0.16220257 0.83779743],0.02299809455871582,0.0029997825622558594,0.02800583839416504
1000,2,[0.66364903 0.33635097],0.022001028060913086,0.0030002593994140625,0.028999805450439453
1000,2,[0.85531887 0.14468113],0.019998788833618164,0.0029997825622558594,0.0280001163482666
1000,2,[0.88493922 0.11506078],0.026508092880249023,0.00299835205078125,0.02900218963623047
1000,2,[0.78010432 0.21989568],0.021044492721557617,0.002999544143676758,0.028000593185424805
1000,2,[0.46533368 0.53466632],0.02500295639038086,0.0019989013671875,0.02951335906982422
1000,2,[0.34439839 0.65560161],0.021999120712280273,0.0019989013671875,0.028539657592773438
1000,2,[0.96734284 0.03265716],0.023000240325927734,0.002000093460083008,0.027023792266845703
